content_id,doi,name,content_type,item_type,creator,primary_creator,resource_sub_type,resource_type,publisher_name,journal,book_title,book_subtitle,container_name,collection_name,iiif_url,platform_metadata,hierarchy
003a255f-375e-3878-8647-1f2d0dc8e6ed,10.2307/community.1008930606,Annual commencement / Northwestern University.,contributed_documents,ccda_text,"[""Northwestern University (Evanston, Ill.)""]","Northwestern University (Evanston, Ill.)",Documents,Documents,"[""Evanston, Ill. : The University,""]",,,,,Northwestern University Collection,https://stor.stage.artstor.org/iiif/2022/01/07/18/b0464b5d-4999-4f14-8b27-5976b638cbc2/pages/page-0_deflate.tif,TRUE,"{""collection"":[{""id"":""100600214"",""title"":""Northwestern University Collection"",""path"":""/northwesternuniversity/nwu-collection""}],""portal"":[{""id"":""100584074"",""title"":""Northwestern University"",""path"":""/northwesternuniversity""}]}"
012b5957-b4b3-3075-acd1-4f19cc666625,10.2307/ithaka.org.1003748673,"Maria Carson in Automobile next to Rachel Carson with Dog, Pat, at Carson Homestead ",contributed_images,ccda_text,"[""unknown""]",unknown,Photographs,Images,,,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/17087db8-e8d8-4adf-814f-162122abaa93_deflate.tif,TRUE,"{""collection"":[{""id"":""100117982"",""title"":""Chatham University - Rachel Carson Collection Test"",""path"":""/jstortestportal/chatham-rachel-carson-test""}],""portal"":[{""id"":""100047621"",""title"":""JSTOR Internal Test"",""path"":""/jstortestportal""}]}"
01b7e68c-4839-340c-afc3-b4566688dfd9,10.2307/41801952,Civil Society in Apartheid and Post-Apartheid South Africa,journal,article,"[""Khehla Shubane""]",Khehla Shubane,,,"[""Berghahn Books"", ""Faculty of Humanities, Development and Social Sciences, University of KwaZulu-Natal, South Africa""]",Theoria: A Journal of Social and Political Theory,,,,,,TRUE,"{""journal"":[{""id"":""theoria"",""title"":""Theoria: A Journal of Social and Political Theory""}],""issue"":[{""id"":""10.2307/i40084850"",""title"":""No. 79, The State and Civil Society (May 1992)""}],""publisher"":[{""id"":""berghahnbooks"",""title"":""Berghahn Books""},{""id"":""ukzn"",""title"":""Faculty of Humanities, Development and Social Sciences, University of KwaZulu-Natal, South Africa""}]}"
020635bd-910e-3545-b7bb-337538fe947b,10.2307/25163080,The Silent Spring of Rachel Carson,journal,article,"[""Ned Kerstetter""]",Ned Kerstetter,,,"[""Organization of American Historians"", ""Oxford University Press""]",OAH Magazine of History,,,,,,TRUE,"{""journal"":[{""id"":""maghist"",""title"":""OAH Magazine of History""}],""issue"":[{""id"":""10.2307/i25163073"",""title"":""Vol. 10, No. 3, Environmental History (Spring, 1996)""}],""publisher"":[{""id"":""oah"",""title"":""Organization of American Historians""},{""id"":""oup"",""title"":""Oxford University Press""}]}"
02365a6b-dfd6-301e-be33-959ff0b1454a,10.2307/struggles.1003346513,Isolate Apartheid South Africa,contributed_documents,ccda_text,"[""The Anti-Apartheid Movement""]",The Anti-Apartheid Movement,Press Releases,Documents,,,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/20/03/e9407133-99cd-452b-b438-78ef9794408c.jp2,TRUE,"{""compilation"":[{""id"":""1003322637"",""title"":""Anti-Apartheid Movement Collection"",""path"":""/struggles-for-freedom/southern-africa/anti-apartheid-movement-collection-1003322637""}],""collection"":[{""id"":""100046001"",""title"":""Struggles for Freedom: Southern Africa"",""path"":""/primary-sources/southern-african""}],""portal"":[{""id"":""100046000"",""title"":""Primary Sources"",""path"":""/primary-sources""}]}"
026acae8-187c-319a-b893-db8a2e5ef307,10.7722/j.ctt14brs5g.8,3 The Road to Freedom,book,chapter,"[""Paul Mulvey""]",Paul Mulvey,,,"[""Boydell and Brewer"", ""Royal Historical Society""]",,The Political Life of Josiah C. Wedgwood,"Land, Liberty and Empire, 1872-1943",,,,TRUE,"{""publisher"":[{""id"":""boydellbrewer"",""title"":""Boydell and Brewer""},{""id"":""rhs"",""title"":""Royal Historical Society""}],""toc"":[{""id"":""10.7722/j.ctt14brs5g"",""title"":""The Political Life of Josiah C. Wedgwood: Land, Liberty and Empire, 1872-1943""}]}"
055e7e95-c675-3f3f-86b6-95aec9d110ee,10.2307/ithaka.org.1003748621,"Play ""Let's Raise Chickens"" by Rachel Carson Appearing in a 1927 issue of The Arrow",contributed_documents,ccda_text,"[""Carson, Rachel, 1907-1964""]","Carson, Rachel, 1907-1964",Screenplays,Documents,"[""Chatham University""]",,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/fb89fcb5-7e0e-4a6c-b2c3-777d0ae0da27_deflate.tif,TRUE,"{""collection"":[{""id"":""100117982"",""title"":""Chatham University - Rachel Carson Collection Test"",""path"":""/jstortestportal/chatham-rachel-carson-test""}],""portal"":[{""id"":""100047621"",""title"":""JSTOR Internal Test"",""path"":""/jstortestportal""}]}"
063bfe06-e108-3885-b942-17ebbd1ea580,10.2307/struggles.1003323318,On Freedom Road,contributed_images,ccda_text,"[""Mackay, Peter""]","Mackay, Peter",Photographs,Images,"[""University of Stirling Archives""]",,,,,Struggles for Freedom: Southern Africa,,TRUE,
07a65982-4101-3dcb-bb97-001eb5726e1f,10.2307/ithaka.org.1003748645,Carson Family Pets on Carson Homestead Porch Steps (Pennsylvania),contributed_images,ccda_text,"[""unknown""]",unknown,Photographs,Images,,,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/608ded20-60c9-4ccd-b9f8-35f75425f604_deflate.tif,TRUE,"{""collection"":[{""id"":""100117982"",""title"":""Chatham University - Rachel Carson Collection Test"",""path"":""/jstortestportal/chatham-rachel-carson-test""}],""portal"":[{""id"":""100047621"",""title"":""JSTOR Internal Test"",""path"":""/jstortestportal""}]}"
0a0facb1-cb57-3d2d-8678-c6586524b0d5,10.2307/ithaka.org.1003748662,Press Photo of Rachel Carson for The Sea Around Us,contributed_images,ccda_text,"[""Brooks Photography""]",Brooks Photography,Photographs,Images,,,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/d0fb394b-0b57-4f9d-81bc-58a68fbe84a0_deflate.tif,TRUE,"{""collection"":[{""id"":""100117982"",""title"":""Chatham University - Rachel Carson Collection Test"",""path"":""/jstortestportal/chatham-rachel-carson-test""}],""portal"":[{""id"":""100047621"",""title"":""JSTOR Internal Test"",""path"":""/jstortestportal""}]}"
