content_id,publish_timestamp,created,last_modified,doi,name,content_type,item_type,creator,primary_creator,resource_sub_type,resource_type,publisher_name,book_title,book_subtitle,collection_name,iiif_url
d334d3dc-0b45-3357-b76e-cce71f077521,2013-01-01 00:00:00.000000 +00:00,2022-02-16 14:55:02.559048 +00:00,2022-02-16 14:55:02.559050 +00:00,10.2307/j.ctt5vm5bn.24,Silent Spring (1962),book,chapter,"[""RACHEL CARSON"",""CHRISTOF MAUCH""]",RACHEL CARSON,,,"[""Yale University Press""]",The Future of Nature,Documents of Global Change,,
d507b72b-fbef-315d-959f-861b334de5af,2008-01-01 00:00:00.000000 +00:00,2022-02-16 15:47:09.335848 +00:00,2022-02-16 15:47:09.335850 +00:00,10.7591/j.ctt7zg16.8,[4] Apartheid in U.S.–South African Relations,book,chapter,"[""C. William Walldorf <suffix>Jr.</suffix>""]",C. William Walldorf <suffix>Jr.</suffix>,,,"[""Cornell University Press""]",Just Politics,Human Rights and the Foreign Policy of Great Powers,,
d50977bd-7c57-3cf6-925e-37951ef3902b,2006-01-01 00:00:00.000000 +00:00,2022-02-16 15:46:23.999871 +00:00,2022-02-16 15:46:23.999872 +00:00,10.3366/j.ctt1r20cr.23,"Chapter 19 11 February 1990, South Africa:",book,chapter,"[""Louise Bethlehem""]",Louise Bethlehem,,,"[""Edinburgh University Press""]",The Edinburgh Companion to Twentieth-Century Literatures in English,,,
d5bde5af-46d6-3b73-ad27-9eb4e96af6b2,1992-01-01 00:00:00.000000 +00:00,2021-04-12 12:17:53.105108 +00:00,2021-06-14 22:55:03.560561 +00:00,10.2307/ithaka.org.1003346127,Stop Apartheid's Violence poster,contributed_images,ccda_text,"[""Africa Fund""]",Africa Fund,Posters,Images,"[""Africa Fund""]",,,,https://stor.stage.artstor.org/iiif//2019/08/20/05/9a1e6524-9944-49bd-bf11-5640248c667c.jp2
d6869b89-20c4-3630-a72f-a6908f0700b4,2009-01-01 00:00:00.000000 +00:00,2022-02-16 15:47:03.002981 +00:00,2022-02-16 15:47:03.002983 +00:00,10.7591/j.ctt7zgkc.5,1 The Apartheid State and Modern Servitude,book,chapter,"[""SHIREEN ALLY""]",SHIREEN ALLY,,,"["""", ""Cornell University Press""]",From Servants to Workers,South African Domestic Workers and the Democratic State,,
d7524757-1c7b-3e64-953c-285a3b0759e7,2009-12-01 00:00:00.000000 +00:00,2022-02-16 14:55:06.114253 +00:00,2022-02-16 14:55:06.114256 +00:00,10.2307/27735030,The Ecological Landscapes of Jane Jacobs and Rachel Carson,journal,article,"[""David Kinkela""]",David Kinkela,,,"[""The Johns Hopkins University Press""]",,,,
d967c03d-7dfe-3582-9945-fa600375611f,1965-01-01 00:00:00.000000 +00:00,2021-07-12 12:39:37.377112 +00:00,2021-07-12 12:39:37.377117 +00:00,10.2307/.1003323318,On Freedom Road,contributed_images,ccda_text,"[""Mackay, Peter""]","Mackay, Peter",Photographs,Images,"[""University of Stirling Archives""]",,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif//2019/08/20/08/6cc5b0fa-19fd-44ea-a23d-f88a1aaf44cb.jp2
d9973f35-a8dc-359d-b0a5-2d7f2b68d564,1927-01-01 00:00:00.000000 +00:00,2022-02-16 14:57:53.477611 +00:00,2022-02-16 14:57:53.477612 +00:00,10.2307/ithaka.org.1003748623,"Article ""Keeping an Expense Account"" by Rachel Carson Appearing in a 1927 issue of The Arrow",contributed_serials,ccda_text,"[""Carson, Rachel, 1907-1964""]","Carson, Rachel, 1907-1964",Articles,Serials,"[""Chatham University""]",,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/9c7caa74-563c-441a-bcc9-a376f9b120ef_deflate.tif
da0bf7c7-f706-37dd-baa4-7e2b259e1ebc,2008-10-01 00:00:00.000000 +00:00,2022-02-16 15:44:48.753374 +00:00,2022-02-16 15:44:48.753375 +00:00,10.2307/41554625,Our Educational Apartheid,journal,article,"[""Jonathan Kozol""]",Jonathan Kozol,,,"[""Reimagine!""]",,,,
da31f347-1c92-32f6-81dd-9c6554c77170,1963-10-02 00:00:00.000000 +00:00,2022-02-16 14:56:03.190838 +00:00,2022-02-16 14:56:03.190840 +00:00,10.2307/ithaka.org.1003748635,"Letter from Rachel Carson to Chatham College President Edward Eddy dated October 2, 1963 ",contributed_documents,ccda_text,"[""Carson, Rachel, 1907-1964""]","Carson, Rachel, 1907-1964",Letters (Correspondence),Documents,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/e886ed46-caca-4120-92c2-b9a1ca4a9776_deflate.tif
