content_id,publish_timestamp,created,last_modified,doi,name,content_type,item_type,creator,primary_creator,resource_sub_type,resource_type,publisher_name,book_title,book_subtitle,collection_name,iiif_url
3f781a9b-b269-3e2a-96cc-a3548e087c13,1993-07-01 00:00:00.000000 +00:00,2022-02-16 14:53:07.176791 +00:00,2022-02-16 14:53:07.176794 +00:00,10.2307/3984849,"Rachel Carson's ""Silent Spring""",journal,article,"[""Linda J. Lear""]",Linda J. Lear,,,"[""Forest History Society"", ""American Society for Environmental History"", ""Oxford University Press""]",,,,
3fb76330-6b10-3253-8010-2cdd038bfde0,1963-05-24 00:00:00.000000 +00:00,2022-02-16 14:54:35.942111 +00:00,2022-02-16 14:54:35.942114 +00:00,10.2307/1710604,Pesticides: White House Advisory Body Issues Report Recommending Steps to Reduce Hazard to Public,journal,article,"[""D. S. Greenberg""]",D. S. Greenberg,,,"[""American Association for the Advancement of Science""]",,,,
408b5054-9c03-321a-9dd3-8ce2963c1bac,1985-10-01 00:00:00.000000 +00:00,2022-02-16 16:12:33.355623 +00:00,2022-02-16 16:12:33.355625 +00:00,10.2307/3984231,"Chemical Fallout: Rachel Carson's Silent Spring, Radioactive Fallout, and the Environmental Movement",journal,article,"[""Ralph H. Lutts""]",Ralph H. Lutts,,,"[""Forest History Society"", ""American Society for Environmental History"", ""Oxford University Press""]",,,,
41eb7162-eab9-3806-84cb-f1bfe5d74e55,1995-09-06 00:00:00.000000 +00:00,2021-07-12 12:40:37.234077 +00:00,2021-07-12 12:40:37.234081 +00:00,10.2307/struggles.1003333283,"Part 04, AWEPAA activities in Europe and Southern Africa: Desmond Tutu, Bonn, September 1995.",contributed_images,ccda_text,"[""Boersma, Pieter""]","Boersma, Pieter",Photographs,Images,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/20/08/66994ae6-91b1-423b-a931-f06a5e0dd0e2.jp2
421b29d2-f592-30d5-8c0b-9b121d380ade,2012-01-01 00:00:00.000000 +00:00,2022-02-16 14:53:51.211328 +00:00,2022-02-16 14:53:51.211330 +00:00,10.7312/marc15930.8,RACHEL CARSON’S: SILENT SPRING,book,chapter,"[""Marla Cone""]",Marla Cone,,,"[""Columbia University Press""]",Second Read,Writers Look Back at Classic Works of Reportage,,
42733e15-c5de-3092-a61c-c27abe137ef8,1990-01-01 00:00:00.000000 +00:00,2022-02-16 15:48:24.649125 +00:00,2022-02-16 15:48:24.649127 +00:00,10.2307/struggles.1003346574,Boycott Apartheid: Sanctions Now Campaign Plans,contributed_documents,ccda_text,"[""South Africa Freedom Now"","" The Anti-Apartheid Movement""]",South Africa Freedom Now,Memorandums,Documents,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/19/23/a3999fe8-7d84-464c-9913-6f260eaba43d.jp2
42b70c25-5bbc-3eba-8731-45c21f9fe60e,1928-01-01 00:00:00.000000 +00:00,2022-02-16 14:57:44.879521 +00:00,2022-02-16 14:57:44.879523 +00:00,10.2307/ithaka.org.1003748618,"""Let's Go Coasting"" Article by Rachel Carson in The Arrow",contributed_serials,ccda_text,"[""Carson, Rachel, 1907-1964""]","Carson, Rachel, 1907-1964",Articles,Serials,"[""Chatham University""]",,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/7944ad81-2e75-4f90-b241-81ced3b15cc1_deflate.tif
45f4f703-1425-34cc-b660-77b72aea0aec,1997-10-01 00:00:00.000000 +00:00,2022-02-16 14:54:21.356897 +00:00,2022-02-16 14:54:21.356899 +00:00,10.2307/3744471,"Pests, Pollution, and Politics: The Nixon Administration's Pesticide Policy",journal,article,"[""J. Brooks Flippen""]",J. Brooks Flippen,,,"[""Agricultural History Society""]",,,,
4640ab38-7838-3a41-a654-eb9ae3ef916c,1963-12-09 00:00:00.000000 +00:00,2022-02-16 14:56:54.625608 +00:00,2022-02-16 14:56:54.625610 +00:00,10.2307/ithaka.org.1003748642,"Letter from Chatham College President Edward Eddy to Rachel Carson dated December 9, 1963",contributed_documents,ccda_text,"[""Edward D. Eddy (academician and administrator, 1921-1998)""]","Edward D. Eddy (academician and administrator, 1921-1998)",Letters (Correspondence),Documents,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/18d17930-988b-407a-8b33-ee0df294d762_deflate.tif
48b96ce4-33da-39bd-9676-931230ea1b68,2012-01-01 00:00:00.000000 +00:00,2022-02-16 15:45:38.780225 +00:00,2022-02-16 15:45:38.780228 +00:00,10.2307/j.ctt3fgwp0.10,7 Afterlife,book,chapter,"[""Louise Viljoen""]",Louise Viljoen,,,"[""Ohio University Press""]",Ingrid Jonker,Poet under Apartheid,,
48d83a3b-ce7c-3f43-9885-8f10e78cb4f7,2009-01-01 00:00:00.000000 +00:00,2022-02-16 15:46:12.429315 +00:00,2022-02-16 15:46:12.429317 +00:00,10.7591/j.ctt7z8dn.12,CONCLUSION.: Ending Apartheid at the Border,book,chapter,"[""David Spener""]",David Spener,,,"[""Cornell University Press""]",Clandestine Crossings,Migrants and Coyotes on the Texas-Mexico Border,,
4a960b7e-0560-3681-a490-57f20efea8c1,1910-01-01 00:00:00.000000 +00:00,2021-05-11 17:39:08.817380 +00:00,2021-06-14 23:00:17.284649 +00:00,10.2307/ithaka.org.1003748644,"Rachel Carson with sister Marian and Dogs Don, Pat, and Candy at the Carson Homestead ",contributed_images,ccda_text,"[""unknown""]",unknown,Photographs,Images,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/02cbbba8-40ad-458d-aa27-c15c546b441d_deflate.tif
4bac989c-07ad-3db3-8b00-bf3410876e89,1965-01-01 00:00:00.000000 +00:00,2022-02-16 15:35:55.489024 +00:00,2022-02-16 15:35:55.489025 +00:00,10.2307/struggles.1003323324,"Freedom Road, Tamatatse Pan, Wankie",contributed_images,ccda_text,"[""Mackay, Peter""]","Mackay, Peter",Photographs,Images,"[""University of Stirling Archives""]",,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif//2019/08/22/08/c429b887-ab9a-4c23-a13f-f08bacaf9437.jp2
4efdaaeb-5885-3bdf-95cd-48d4255fe29d,1920-01-01 00:00:00.000000 +00:00,2021-06-16 18:29:07.780969 +00:00,2021-06-16 18:29:07.780971 +00:00,10.2307/ithaka.org.1003748655,Detail of Rachel Carson in Parnassus High School Group Photo ,contributed_images,ccda_text,"[""unknown""]",unknown,Photographs,Images,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/771c091f-2aea-4874-a56c-6f7480783143_deflate.tif
4f245810-e0d7-36ff-8553-b3617f45b0d9,1952-01-01 00:00:00.000000 +00:00,2021-06-16 18:30:06.081125 +00:00,2021-06-16 18:30:06.081127 +00:00,10.2307/ithaka.org.1003748664,"Mariane Moore, James Jones, and Rachel Carson at National Book Award Ceremonies, 1952",contributed_images,ccda_text,"[""Briggs, Shirley A. (Shirley Ann), 1918-2004""]","Briggs, Shirley A. (Shirley Ann), 1918-2004",Photographs,Images,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/2ac18515-24e6-4ef6-93de-6ab7c749c707_deflate.tif
4fc3859d-ae8f-3398-8562-a47933a872f8,1978-08-01 00:00:00.000000 +00:00,2022-02-16 14:53:48.139720 +00:00,2022-02-16 14:53:48.139724 +00:00,10.2307/40177090,Rachel Carson College: A Breath of Fresh Air for Environmentalists,journal,article,[],,,,"[""Taylor & Francis, Ltd.""]",,,,
4fce377c-2ce5-32a3-87d7-af1c81cc7338,1928-01-01 00:00:00.000000 +00:00,2021-06-16 18:31:56.960274 +00:00,2021-06-16 18:31:56.960277 +00:00,10.2307/ithaka.org.1003748651,"Rachel Carson in Yearbook Photo of Pennsylvania College for Women Honorary Field Hockey Team Appearing in the Yearbook, The Pennsylvanian ",contributed_images,ccda_text,"[""Chatham University""]",Chatham University,Photographs,Images,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/07ede3ca-428a-4a11-a286-93312f5b0110_deflate.tif
4feda5b2-3839-344e-b2e0-a855400f2ab4,1963-09-26 00:00:00.000000 +00:00,2022-02-16 14:56:34.166483 +00:00,2022-02-16 14:56:34.166485 +00:00,10.2307/ithaka.org.1003748630,"Letter from Chatham College President Edward Eddy to Rachel Carson on September 26, 1963",contributed_documents,ccda_text,"[""Edward D. Eddy (academician and administrator, 1921-1998)""]","Edward D. Eddy (academician and administrator, 1921-1998)",Letters (Correspondence),Documents,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/2bf19fb6-2cf9-4b68-9a69-b891147762e1_deflate.tif
503e4a47-6d4c-388e-b9d2-16d06e02a9a2,1925-01-01 00:00:00.000000 +00:00,2021-06-16 18:33:20.795205 +00:00,2021-06-16 18:33:20.795208 +00:00,10.2307/ithaka.org.1003748670,Rachel Carson with Parents Robert and Maria on PCW Campus (Pennsylvania),contributed_images,ccda_text,"[""unknown""]",unknown,Photographs,Images,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/a6b30d74-ed6b-402b-9761-b0f2453aaa24_deflate.tif
506e9818-9de4-3cd0-9ebd-f82131359870,,2022-02-16 15:49:32.634031 +00:00,2022-02-16 15:49:32.634033 +00:00,10.2307/struggles.1003324360,Don't entertain apartheid : Support the cultural boycott!,contributed_images,ccda_text,[],,Posters,Images,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/20/04/f5331b3d-4937-4060-9de2-0e78194febe8.jp2
