content_id,publish_timestamp,created,last_modified,doi,name,content_type,item_type,creator,primary_creator,resource_sub_type,resource_type,publisher_name,book_title,book_subtitle,collection_name,iiif_url
8ea44607-936e-363f-ad0f-f8806b80886a,1963-09-06 00:00:00.000000 +00:00,2022-02-16 14:55:52.386725 +00:00,2022-02-16 14:55:52.386729 +00:00,10.2307/ithaka.org.1003748632,"Letter from Rachel Carson to Chatham College President Edward Eddy on September 6, 1963",contributed_documents,ccda_text,"[""Carson, Rachel, 1907-1964""]","Carson, Rachel, 1907-1964",Letters (Correspondence),Documents,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/6ed36f66-467c-4b46-9708-8dbee27154d7_deflate.tif
9175a022-f3df-3335-99ca-43708b766b76,1928-01-01 00:00:00.000000 +00:00,2021-04-08 11:31:53.854975 +00:00,2021-06-14 22:55:42.627127 +00:00,10.2307/ithaka.org.1003748619,"""Homecoming"" Article by Rachel Carson Appearing in a 1928 issue of The Arrow",contributed_serials,ccda_text,"[""Carson, Rachel, 1907-1964""]","Carson, Rachel, 1907-1964",Articles,Serials,"[""Chatham University""]",,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/19dd4063-f39c-47d2-ad39-4c67a5f35568_deflate.tif
93a92de2-1ad9-3d69-a179-3fee7c074c3e,1989-01-01 00:00:00.000000 +00:00,2021-05-26 21:01:13.225023 +00:00,2021-06-14 22:50:19.964909 +00:00,10.2307/struggles.1003347384,Befria barnen från Apartheid!,contributed_images,ccda_text,"[""Artist Unknown""]",Artist Unknown,Posters,Images,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/21/21/b28fdab7-8eb1-4e5b-97e5-af3422c45735.jp2
94e15273-5aac-3d78-b03e-77cbe02686d8,1907-01-01 00:00:00.000000 +00:00,2021-06-16 18:28:39.697686 +00:00,2021-06-16 18:28:39.697687 +00:00,10.2307/ithaka.org.1003748659,Contact Sheet depicting Rachel Carson and Sprindale Elementary School Students ,contributed_images,ccda_text,"[""unknown""]",unknown,Photographs,Images,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/d2216ec1-e28f-48d7-88ad-1527650956be_deflate.tif
960c33b0-f188-3722-b32a-34f2cde21d31,1965-01-01 00:00:00.000000 +00:00,2021-07-12 12:39:27.559684 +00:00,2021-07-12 12:39:27.559689 +00:00,10.2307/struggles.1003323281,"Along Freedom Road, Wankie",contributed_images,ccda_text,"[""Mackay, Peter""]","Mackay, Peter",Photographs,Images,"[""University of Stirling Archives""]",,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif//2019/08/22/08/77d986f1-3c3d-448b-92be-81fb0fd6c19d.jp2
96149d85-87a7-3866-af44-aa694cde439c,1994-07-01 00:00:00.000000 +00:00,2022-02-16 15:30:36.712847 +00:00,2022-02-16 15:30:36.712850 +00:00,10.2307/41069697,SOUTH AFRICA'S LONG ROAD TO FREEDOM,journal,article,"[""Frances M. Beal""]",Frances M. Beal,,,"[""Taylor & Francis, Ltd.""]",,,,
971a0df7-21a7-3bdd-9ba8-6ccef19cd1b2,2017-04-01 00:00:00.000000 +00:00,2022-02-16 14:54:08.778096 +00:00,2022-02-16 14:54:08.778099 +00:00,10.2307/90002401,"History of Ecological Sciences, Part 58B:: Marine Ecology, mid-1920s to about 1990: Carson, Riley, Cousteau, and Clark",journal,article,"[""Frank N. Egerton""]",Frank N. Egerton,,,"[""Wiley""]",,,,
97be3313-4d6f-3031-8fd4-6fd3ba4bd26c,1977-01-01 00:00:00.000000 +00:00,2022-02-16 15:32:57.923969 +00:00,2022-02-16 15:32:57.923971 +00:00,10.2307/struggles.1003330985,"American Firms, Subsidiaries and Affiliates Operating in the Republic of South Africa",contributed_documents,ccda_text,"[""Africa Fund"",""""]",Africa Fund,Reports,Documents,"[""Africa Fund""]",,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/20/05/ebc6a0b3-e21e-4566-b65b-88d64284c469.jp2
9829fe7d-ac12-337f-8f98-9d0d4646afef,2013-04-01 00:00:00.000000 +00:00,2022-02-16 15:44:44.403546 +00:00,2022-02-16 15:44:44.403548 +00:00,10.7588/worllitetoda.87.2.0032,Lifetimes Under Apartheid,journal,article,"[""David Goldblatt"",""Nadine Gordimer""]",David Goldblatt,,,"[""Board of Regents of the University of Oklahoma""]",,,,
9dc9c459-091b-37dc-99df-efbd0b6c75a4,1964-02-24 00:00:00.000000 +00:00,2022-02-16 14:56:29.921713 +00:00,2022-02-16 14:56:29.921715 +00:00,10.2307/ithaka.org.1003748639,"Letter from Chatham College President Edward Eddy to Rachel Carson dated February 24, 1964",contributed_documents,ccda_text,"[""Edward D. Eddy (academician and administrator, 1921-1998)""]","Edward D. Eddy (academician and administrator, 1921-1998)",Letters (Correspondence),Documents,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/46a76add-6a37-4729-ba7e-42ea6be2caac_deflate.tif
